CryoSleep,VIP,Transported,TotalSpent,Earth,Europa,Mars,55 Cancri e,PSO J318.5-22,TRAPPIST-1e,P,S
0,0,1,1,1,0,0,0,0,1,0,1
0,0,0,217,1,0,0,0,1,0,0,1
0,0,0,1246,0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,0,0,1,0,1
0,0,0,6279,0,1,0,1,0,0,0,1
0,1,1,0,0,1,0,1,0,0,0,1
0,0,0,4105,0,1,0,1,0,0,1,0
1,0,1,0,0,0,1,0,0,1,1,0
0,0,0,0,0,1,0,1,0,0,1,0
0,0,0,0,1,0,0,0,1,0,1,0
0,0,0,1222,0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,0,1,0
1,0,1,0,0,1,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,0,1
0,0,1,40,0,0,1,0,0,1,1,0
0,0,0,0,1,0,0,0,0,1,1,0
1,0,1,0,0,1,0,0,0,1,1,0
1,0,1,0,0,0,1,1,0,0,0,1
0,0,0,4996,0,1,0,0,0,1,1,0
0,0,1,771,0,1,0,1,0,0,0,1
1,0,1,0,0,1,0,0,0,1,0,1
0,0,1,3901,0,1,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,0,1
0,0,0,1806,1,0,0,0,1,0,1,0
1,0,1,0,0,1,0,1,0,0,1,0
0,0,0,1607,1,0,0,0,0,1,0,1
0,0,0,147,1,0,0,0,0,1,1,0
0,0,0,710,1,0,0,0,0,1,0,1
0,0,0,6,1,0,0,0,0,1,1,0
0,0,0,180,1,0,0,0,0,1,0,1
0,1,0,1666,0,1,0,1,0,0,0,1
1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,1,0,0,0,0,1,0,1
0,0,0,10942,0,1,0,1,0,0,0,1
0,0,0,754,1,0,0,0,0,1,0,1
0,0,0,1487,0,0,1,0,0,1,0,1
0,0,0,794,0,0,1,0,0,1,1,0
0,0,0,960,1,0,0,0,0,1,1,0
0,0,0,6044,0,1,0,0,0,1,0,1
0,0,0,838,0,0,1,0,0,1,1,0
1,0,1,0,0,0,1,1,0,0,1,0
0,0,0,0,0,1,0,0,0,1,1,0
1,0,1,0,0,1,0,0,0,1,0,1
0,0,1,588,1,0,0,1,0,0,1,0
0,0,0,465,1,0,0,0,0,1,0,1
1,0,1,0,0,1,0,0,0,1,1,0
1,0,0,0,1,0,0,0,0,1,1,0
1,1,1,0,0,1,0,0,0,1,1,0
1,0,1,0,0,1,0,1,0,0,0,1
0,0,0,13427,0,1,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,1,0
0,0,0,2572,0,1,0,0,0,1,0,1
0,0,0,1692,1,0,0,0,1,0,0,1
1,0,1,0,0,0,1,0,0,1,0,1
0,0,1,0,1,0,0,0,1,0,1,0
1,1,1,0,0,1,0,1,0,0,1,0
0,0,1,781,1,0,0,0,0,1,1,0
0,0,0,1063,1,0,0,0,0,1,0,1
0,0,0,790,1,0,0,1,0,0,0,1
0,0,0,9145,0,1,0,0,0,1,1,0
0,0,0,3809,0,0,1,0,0,1,0,1
0,0,0,219,1,0,0,0,0,1,1,0
0,0,0,1193,1,0,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,0,1,0,0,0,1,0,1
0,0,0,6622,0,1,0,0,0,1,1,0
0,0,0,943,1,0,0,0,0,1,1,0
0,0,0,11496,0,1,0,0,0,1,1,0
1,0,1,0,1,0,0,0,0,1,1,0
0,0,1,242,1,0,0,0,1,0,0,1
0,0,1,5,0,1,0,1,0,0,1,0
1,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,0,1,0,0,0,1,0,1
0,0,1,95,1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,0,1
0,0,0,766,0,0,1,1,0,0,0,1
0,0,1,257,1,0,0,1,0,0,1,0
0,0,0,1001,0,0,1,0,0,1,0,1
0,0,0,20,1,0,0,0,0,1,0,1
1,0,1,0,1,0,0,0,1,0,0,1
1,0,1,0,0,1,0,1,0,0,1,0
1,0,1,0,1,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,1,0,1
0,0,1,1396,0,1,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,1,0
0,0,0,722,1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0,0,1,1,0
0,0,0,431,1,0,0,0,0,1,1,0
0,0,0,79,1,0,0,1,0,0,1,0
1,0,1,0,1,0,0,0,0,1,1,0
1,0,0,0,1,0,0,0,0,1,1,0
1,0,0,0,0,0,1,0,0,1,0,1
0,0,0,1483,1,0,0,0,1,0,1,0
0,0,0,1539,0,1,0,0,0,1,1,0
1,0,1,0,1,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0,0,1,0,1
0,0,1,168,0,1,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,1,0
0,0,1,415,0,1,0,0,0,1,1,0
0,0,0,1377,0,0,1,0,0,1,1,0
0,0,0,686,0,0,1,0,0,1,0,1
0,0,0,1399,1,0,0,0,0,1,1,0
1,0,1,0,0,1,0,0,0,1,1,0
0,0,0,3017,0,0,1,0,0,1,1,0
1,0,1,0,0,1,0,1,0,0,1,0
0,0,0,1624,0,0,1,0,0,1,1,0
0,0,0,509,1,0,0,0,0,1,0,1
1,1,1,0,0,1,0,0,0,1,1,0
1,0,1,0,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,1,1,0
0,0,1,645,1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,1,0
0,0,0,1263,1,0,0,0,0,1,0,1
0,0,0,6708,0,1,0,1,0,0,1,0
0,0,1,95,1,0,0,1,0,0,1,0
1,0,1,0,1,0,0,0,1,0,1,0
0,0,1,780,1,0,0,0,0,1,0,1
1,0,1,0,1,0,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,1,1,0
0,0,1,78,0,1,0,0,0,1,1,0
0,0,0,1671,0,0,1,0,0,1,1,0
0,1,0,16888,0,1,0,0,1,0,1,0
0,0,0,727,1,0,0,0,0,1,1,0
0,0,0,2655,0,1,0,0,0,1,1,0
1,0,1,0,0,0,1,1,0,0,0,1
0,0,0,2803,0,0,1,1,0,0,0,1
0,0,0,3832,0,1,0,0,0,1,1,0
0,0,0,1702,1,0,0,0,0,1,0,1
1,0,1,0,0,1,0,1,0,0,0,1
0,0,1,6,0,1,0,1,0,0,0,1
0,0,0,8619,0,1,0,0,0,1,1,0
0,0,0,1530,0,0,1,0,0,1,0,1
0,0,1,240,1,0,0,0,0,1,1,0
1,0,1,0,0,1,0,1,0,0,1,0
1,0,1,0,0,1,0,0,0,1,0,1
0,0,0,583,0,0,1,0,0,1,0,1
1,0,1,0,1,0,0,1,0,0,1,0
0,0,1,221,1,0,0,0,0,1,1,0
0,0,0,3160,0,0,1,1,0,0,0,1
1,0,1,0,0,0,1,0,0,1,1,0
0,0,1,29,1,0,0,0,0,1,0,1
0,1,1,2,1,0,0,0,1,0,1,0
1,0,1,0,1,0,0,0,0,1,0,1
0,0,1,808,1,0,0,0,1,0,0,1
0,0,1,0,0,1,0,0,0,1,1,0
1,0,0,0,1,0,0,0,1,0,0,1
0,0,0,2758,1,0,0,0,0,1,1,0
0,0,1,667,1,0,0,0,0,1,1,0
0,0,0,440,1,0,0,0,0,1,0,1
0,0,0,1478,1,0,0,1,0,0,1,0
0,0,0,3733,0,1,0,0,0,1,0,1
1,0,1,0,1,0,0,1,0,0,0,1
0,0,0,1265,1,0,0,0,0,1,0,1
0,0,1,9,1,0,0,0,1,0,1,0
0,0,0,976,1,0,0,1,0,0,0,1
0,0,1,11,1,0,0,0,0,1,0,1
0,1,0,1815,0,0,1,0,0,1,0,1
1,0,0,0,1,0,0,0,1,0,1,0
1,0,1,0,1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,1,0
0,0,0,1250,0,0,1,0,0,1,1,0
0,0,0,785,1,0,0,0,0,1,0,1
0,0,1,783,0,1,0,0,0,1,1,0
1,0,1,0,1,0,0,1,0,0,0,1
0,0,1,1321,0,1,0,1,0,0,1,0
1,0,0,0,0,0,1,0,0,1,1,0
0,0,1,0,1,0,0,1,0,0,0,1
1,0,1,0,1,0,0,0,0,1,0,1
1,0,0,211,1,0,0,0,0,1,1,0
0,0,1,0,0,0,1,0,0,1,0,1
0,0,0,701,1,0,0,0,1,0,1,0
0,0,0,5965,0,1,0,1,0,0,1,0
0,0,0,347,1,0,0,0,0,1,0,1
1,0,1,0,0,1,0,1,0,0,1,0
0,0,0,1737,0,0,1,0,0,1,1,0
0,0,0,2765,1,0,0,0,0,1,0,1
0,0,1,1523,1,0,0,0,1,0,0,1
0,0,1,0,0,1,0,0,0,1,0,1
1,0,1,0,0,0,1,1,0,0,1,0
0,0,1,93,1,0,0,0,1,0,0,1
0,0,0,4,1,0,0,0,0,1,1,0
1,0,1,0,1,0,0,1,0,0,0,1
0,0,0,6934,0,1,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,0,1
1,0,0,0,1,0,0,0,1,0,0,1
0,0,1,0,1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,0,1,0,0,0,1,0,1
0,0,1,580,0,1,0,1,0,0,1,0
1,0,1,0,1,0,0,0,1,0,0,1
0,0,1,692,0,1,0,1,0,0,1,0
0,0,1,0,1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,0,1
0,0,0,1103,0,1,0,0,0,1,1,0
1,0,1,0,0,1,0,0,0,1,0,1
0,0,0,1608,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,0,1
0,0,1,246,0,0,1,0,0,1,1,0
0,0,0,7661,0,1,0,0,0,1,0,1
0,0,0,121,1,0,0,0,0,1,1,0
0,0,1,32,1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,1,0
0,0,0,849,1,0,0,0,0,1,0,1
0,0,0,5206,0,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,1,0,1
1,0,1,0,0,1,0,0,0,1,1,0
1,0,1,0,0,1,0,1,0,0,0,1
0,0,1,868,1,0,0,0,0,1,0,1
0,0,0,589,1,0,0,0,0,1,1,0
1,0,0,0,1,0,0,0,0,1,0,1
1,0,1,0,1,0,0,0,1,0,1,0
0,0,0,1333,0,0,1,0,0,1,0,1
0,0,1,972,0,1,0,0,0,1,0,1
1,0,1,0,0,1,0,0,0,1,0,1
0,1,0,0,0,0,1,0,0,1,0,1
0,0,1,786,1,0,0,0,0,1,1,0
1,0,0,0,0,0,1,1,0,0,1,0
1,0,1,0,0,1,0,1,0,0,0,1
1,0,1,0,0,0,1,0,0,1,1,0
1,0,0,0,0,0,1,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,1,0
0,0,0,373,0,1,0,0,0,1,1,0
0,0,0,5312,0,1,0,1,0,0,0,1
0,1,1,237,0,1,0,1,0,0,1,0
1,0,1,0,0,1,0,1,0,0,1,0
1,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,0,1
1,0,1,0,1,0,0,0,1,0,0,1
1,0,1,0,0,1,0,1,0,0,0,1
0,0,0,1472,0,1,0,1,0,0,1,0
1,1,0,0,1,0,0,0,1,0,1,0
0,0,1,35,1,0,0,0,0,1,0,1
0,0,0,445,1,0,0,0,0,1,0,1
0,0,0,3329,0,0,1,0,0,1,0,1
0,0,0,130,0,0,1,0,0,1,1,0
0,0,0,772,1,0,0,0,1,0,1,0
0,0,0,2964,0,1,0,1,0,0,1,0
0,0,1,235,1,0,0,0,0,1,0,1
0,0,0,5393,0,1,0,1,0,0,1,0
1,0,1,0,1,0,0,0,1,0,0,1
0,0,0,514,1,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,1,0,1
0,0,0,639,1,0,0,0,0,1,1,0
0,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,0,1,0,1
1,0,1,0,0,1,0,1,0,0,1,0
0,0,0,2736,1,0,0,0,0,1,0,1
0,0,0,925,1,0,0,0,0,1,0,1
0,0,1,277,1,0,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,1,0,0,0,0,1,1,0
0,0,0,594,1,0,0,0,0,1,0,1
0,0,1,18,0,1,0,0,0,1,1,0
0,0,1,506,1,0,0,0,0,1,1,0
1,0,1,0,1,0,0,0,0,1,0,1
0,0,0,603,1,0,0,0,1,0,1,0
1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,0,0,1,1,0,0,0,1
1,0,1,0,0,0,1,0,0,1,1,0
0,0,0,930,1,0,0,0,0,1,1,0
1,0,0,183,0,0,1,0,0,1,0,1
0,0,0,933,0,0,1,0,1,0,0,1
0,0,1,651,1,0,0,1,0,0,0,1
1,0,1,0,0,0,1,0,0,1,0,1
0,1,0,1734,0,0,1,0,0,1,1,0
1,0,1,0,1,0,0,0,1,0,0,1
0,0,1,815,0,1,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,1,0,0,0,0,1,0,1
0,0,0,1979,0,1,0,0,0,1,1,0
0,0,0,398,1,0,0,0,0,1,0,1
0,0,0,10697,0,1,0,1,0,0,1,0
1,0,1,0,0,0,1,0,0,1,1,0
0,0,1,510,1,0,0,0,1,0,1,0
1,0,1,0,0,1,0,0,0,1,0,1
0,0,0,1262,1,0,0,0,0,1,0,1
0,0,0,1256,0,0,1,0,0,1,0,1
0,0,1,18,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,0,1,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,1,0,1
1,0,1,0,0,1,0,1,0,0,0,1
0,0,0,3942,0,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,1,0,1
0,0,1,547,1,0,0,0,1,0,0,1
0,0,0,6404,0,1,0,1,0,0,0,1
0,1,0,3388,0,1,0,1,0,0,0,1
0,0,0,568,1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,1,0,0,0,0,1,0,1
0,0,0,2,1,0,0,0,0,1,1,0
1,0,0,0,1,0,0,0,1,0,0,1
0,0,1,647,1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0,1,0,1,0
0,0,1,2131,0,1,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,1,0
0,0,1,0,0,0,1,0,0,1,0,1
0,0,0,3810,0,0,1,0,0,1,1,0
1,0,0,0,1,0,0,0,0,1,1,0
0,0,1,0,0,0,1,0,0,1,0,1
0,0,1,1002,0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,0,1
0,0,0,1638,0,0,1,1,0,0,1,0
0,0,0,0,1,0,0,0,0,1,1,0
1,0,1,0,0,1,0,0,0,1,1,0
0,0,1,505,0,1,0,1,0,0,1,0
1,0,1,0,0,1,0,0,0,1,1,0
0,0,0,1549,1,0,0,0,0,1,0,1
1,0,1,0,0,1,0,0,0,1,0,1
0,0,0,824,1,0,0,0,0,1,1,0
0,0,0,11475,0,1,0,0,0,1,1,0
0,0,1,0,0,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,1,0,1
0,0,1,847,1,0,0,0,1,0,0,1
0,0,0,695,1,0,0,0,0,1,1,0
0,0,1,127,1,0,0,0,0,1,1,0
1,0,1,0,0,1,0,0,0,1,0,1
1,0,1,0,0,1,0,0,0,1,0,1
0,0,0,2313,0,0,1,0,0,1,1,0
0,1,0,0,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,0,1,0,0,0,1,1,0
0,0,1,26,1,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,1,1,0
0,0,0,2395,0,1,0,1,0,0,1,0
0,0,0,1104,1,0,0,0,0,1,1,0
0,0,0,616,1,0,0,0,0,1,1,0
0,0,1,0,0,1,0,0,0,1,0,1
1,0,1,0,0,0,1,0,1,0,0,1
0,0,0,460,1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1,0,1,0
0,0,0,745,1,0,0,0,0,1,1,0
1,0,0,0,1,0,0,0,0,1,0,1
0,0,1,5,1,0,0,0,0,1,1,0
0,0,0,1423,1,0,0,0,0,1,0,1
0,0,0,58,0,0,1,0,1,0,1,0
0,0,0,690,1,0,0,0,0,1,1,0
1,0,1,0,0,1,0,0,1,0,1,0
0,0,0,2529,1,0,0,0,1,0,1,0
1,0,1,0,0,1,0,0,0,1,0,1
0,0,0,669,1,0,0,0,1,0,1,0
1,0,1,0,1,0,0,0,1,0,0,1
1,0,1,0,1,0,0,0,0,1,0,1
0,0,0,837,1,0,0,0,0,1,0,1
1,0,1,0,0,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,1,1,0
0,0,0,22550,0,1,0,1,0,0,1,0
1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,0,1
0,0,1,2,1,0,0,0,0,1,0,1
0,0,0,37,1,0,0,0,0,1,1,0
1,0,1,0,0,1,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,1,0,0,0,0,1,0,1
0,0,0,1964,0,0,1,0,0,1,0,1
0,0,1,1678,0,1,0,1,0,0,1,0
0,0,1,0,0,0,1,0,0,1,1,0
0,0,0,613,0,0,1,0,0,1,0,1
0,0,0,823,1,0,0,0,0,1,1,0
1,0,1,0,0,1,0,1,0,0,1,0
0,0,0,3586,0,1,0,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,0,1
0,0,0,1281,0,0,1,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,0,0,1,0,1
0,0,0,225,0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,0,0,1
0,0,1,0,0,1,0,1,0,0,0,1
1,0,1,0,0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1,0,0,0,1
0,0,0,2575,0,0,1,0,0,1,1,0
0,1,0,1264,1,0,0,0,0,1,1,0
0,0,1,80,1,0,0,0,0,1,1,0
0,0,0,1201,1,0,0,0,0,1,0,1
0,0,0,1471,0,1,0,0,0,1,1,0
0,0,0,1609,1,0,0,0,0,1,1,0
0,0,0,4268,1,0,0,0,0,1,0,1
0,0,0,877,1,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,1,0,1
0,0,1,453,0,1,0,1,0,0,1,0
1,0,1,0,1,0,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,0,1
0,0,0,8461,0,1,0,1,0,0,1,0
0,0,0,1,1,0,0,1,0,0,0,1
0,0,1,635,1,0,0,1,0,0,1,0
1,0,1,0,0,1,0,1,0,0,0,1
1,0,1,0,1,0,0,0,1,0,1,0
0,0,0,1277,0,0,1,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,1,0,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,1,1,0
0,1,1,907,0,1,0,0,0,1,1,0
1,0,0,0,1,0,0,1,0,0,0,1
1,0,1,0,1,0,0,0,0,1,1,0
1,0,0,0,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,1,0
0,0,1,336,1,0,0,1,0,0,1,0
1,1,1,0,0,1,0,1,0,0,1,0
0,0,1,47,1,0,0,0,0,1,1,0
0,0,0,757,1,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,0,1,1,0
0,0,1,2,1,0,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,1,0,0,1,0
0,0,0,0,0,0,1,0,0,1,1,0
1,0,1,0,0,1,0,1,0,0,1,0
0,0,0,1963,1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,0,1
0,0,0,623,1,0,0,0,1,0,1,0
0,0,1,147,0,1,0,0,0,1,0,1
1,0,1,0,0,0,1,0,0,1,0,1
0,0,1,1288,0,0,1,0,0,1,0,1
1,0,1,0,1,0,0,0,1,0,1,0
0,0,0,542,1,0,0,0,0,1,1,0
0,0,1,36,1,0,0,1,0,0,1,0
0,1,0,1271,0,1,0,1,0,0,1,0
1,0,0,0,0,0,1,1,0,0,1,0
